Keyword,Symbol
noteq,≠
approx,≈
elementof,∈
notelementof,∉
subset,⊂
notsubset,⊄
union,∪
intersection,∩
setdifference,∖
cartesianproduct,×
powerset,℘
naturalnumbers,ℕ
integers,ℤ
rationalnumbers,ℚ
realnumbers,ℝ
complexnumbers,ℂ
integral,∫
partialderivative,∂
nabla,∇
laplacian,∇^2
summation,∑
product,∏
infinity,∞
angle,∠
parallel,∥
perpendicular,⊥
squareroot,√
therefore,∴
because,∵
forall,∀
logicaland,∧
logicalor,∨
logicalnot,¬
implies,⇒
equivalent,⇔
thereexists,∃
xor,⊕
pi,π
emptyset,∅
plusorminus,±
